utc	hst	ignore	number of seconds	GS id	orbital events	azimuth	elevation of antenna	seconds from aos0	seconds from aos1
2024-04-19T00:11:23Z	2024-04-18T14:11:23Z	0.52319	  60419.00791	mc3_oahu	TCA	  49.3	  72.5	324.0	129.0
2024-04-19T00:13:31Z	2024-04-18T14:13:31Z	0.52468	  60419.00940	mc3_oahu	LOS1	 -29.2	  19.9	452.5	257.5
2024-04-19T00:16:46Z	2024-04-18T14:16:46Z	0.52693	  60419.01165	mc3_oahu	LOS0	 -32.5	  -0.0	647.0	452.0
2024-04-19T00:34:05Z	2024-04-18T14:34:05Z	0.53896	  60419.02368	ksat_chile	AOS0	 127.2	   0.0	  0.0	-199.0
2024-04-19T00:37:24Z	2024-04-18T14:37:24Z	0.54126	  60419.02598	ksat_chile	AOS1	 123.0	  20.1	199.0	  0.0
2024-04-19T00:39:37Z	2024-04-18T14:39:37Z	0.54279	  60419.02751	ksat_chile	TCA	-169.3	  61.5	331.5	132.5
2024-04-19T00:41:49Z	2024-04-18T14:41:49Z	0.54432	  60419.02904	ksat_chile	LOS1	-104.8	  20.0	463.5	264.5
2024-04-19T00:45:08Z	2024-04-18T14:45:08Z	0.54663	  60419.03135	ksat_chile	LOS0	-112.4	  -0.0	663.0	464.0
2024-04-19T02:10:41Z	2024-04-18T16:10:41Z	0.60604	  60419.09076	ksat_chile	AOS0	 112.3	   0.0	  0.0	-200.0
2024-04-19T02:14:01Z	2024-04-18T16:14:01Z	0.60836	  60419.09308	ksat_chile	AOS1	 104.8	  20.1	200.0	  0.0
2024-04-19T02:16:14Z	2024-04-18T16:16:14Z	0.60989	  60419.09461	ksat_chile	TCA	 171.1	  61.2	332.5	132.5
2024-04-19T02:18:26Z	2024-04-18T16:18:26Z	0.61142	  60419.09614	ksat_chile	LOS1	-123.4	  19.9	464.5	264.5
2024-04-19T02:21:44Z	2024-04-18T16:21:44Z	0.61372	  60419.09844	ksat_chile	LOS0	-127.4	  -0.0	663.0	463.0
